Date,stock,q_price,q_log_return,peRatio,marketCap,priceToSalesRatio,ptbRatio,enterpriseValueOverEBITDA,netIncomePerShare,roe,returnOnTangibleAssets,freeCashFlowPerShare,operatingCashFlowPerShare,currentRatio,debtToEquity,capexToOperatingCashFlow,grahamNumber,incomeQuality
2005-12-31,ETN,19.269474029541016,0.05141721825110901,11.9067,10001628000.0,3.5241818181818183,2.6473340391741664,35.60699711815562,0.704225352112676,0.0555849655902594,0.032543003254300325,0.9825620389000671,1.4218645204560698,1.2055256064690028,0.652196929592377,-0.3089622641509434,14.168512057540651,2.019047619047619
2006-03-31,ETN,20.66601181030273,0.0699682220054414,13.192538461538462,10976192000.0,3.6429445735147694,2.7121798863355573,34.185296202531646,0.6914893617021277,0.051396095873486536,0.03061074319352465,0.2160904255319149,0.42220744680851063,1.1293078894901738,0.6510995799357548,-0.4881889763779528,14.468106495408156,0.6105769230769231
2006-06-30,ETN,22.79638862609864,0.09811172054594408,11.302549407114626,11438180000.0,3.590138104205901,2.691969875264768,34.510502512562816,0.8338826631509558,0.05954342198164274,0.036303630363036306,1.1997363216875412,1.4535266974291365,1.1839609083069849,0.5700164744645799,-0.1746031746031746,16.209861670356126,1.743083003952569
2006-09-30,ETN,23.2382869720459,0.019199089119283475,10.44397177419355,10360420000.0,3.325977528089888,2.3610802187784867,35.891016949152544,0.8239202657807309,0.056517775752051046,0.03413626978664831,1.2093023255813953,1.4883720930232558,1.292511013215859,0.5638103919781221,-0.1875,16.439322423060528,1.8064516129032258
2006-12-31,ETN,21.77776336669922,-0.06491179878104392,11.730881742738589,11308570000.0,3.645573823339781,2.754157330735509,45.03454248366013,0.8006644518272426,0.058694593278129564,0.03250606959805773,0.9235880398671097,1.3787375415282392,1.2938068682125037,0.6298100340964442,-0.3301204819277108,15.676270806080785,1.7219917012448134
2007-03-31,ETN,23.61192321777344,0.08086238538157309,13.17676923076923,12333456000.0,3.9116574690770696,2.8829957924263674,36.77122274881516,0.7926829268292683,0.0546984572230014,0.03149394347240915,-0.6131436314363143,-0.3861788617886179,1.405103668261563,0.7690509583917718,0.5877192982456141,16.076933846465526,-0.48717948717948717
2007-06-30,ETN,26.476736068725582,0.11451465768468427,13.93109756097561,13708200000.0,4.220504926108374,3.08257252080054,42.288721804511276,0.8344640434192673,0.055318192039577246,0.03256121773659828,0.9362279511533242,1.1940298507462686,1.431050804670243,0.7369012817629863,-0.2159090909090909,16.829255277344817,1.4308943089430894
2007-09-30,ETN,30.028791427612305,0.12589017245747414,14.341046511627908,14799960000.000002,4.48755609460279,3.120379506641367,42.31255369928401,0.8775510204081632,0.05439595192915876,0.0328160773340117,1.3945578231292517,1.683673469387755,1.5306057722803679,0.6535947712418301,-0.1717171717171717,17.847621368260523,1.9186046511627908
2007-12-31,ETN,32.08155059814453,0.06612448149921946,13.91619140625,14250180000.0,4.223526970954357,2.7552552204176335,43.48679900744417,0.8707482993197279,0.04949729311678268,0.03244202255734381,1.0272108843537415,1.4557823129251701,1.3028149767696091,0.6606728538283063,-0.29439252336448596,18.56492373185284,1.671875
2008-03-31,ETN,29.98391914367676,-0.06761990778044247,11.908686234817813,11765782000.0,3.3654982837528604,2.139233090909091,35.20933482142857,0.8361543669600542,0.04490909090909091,0.02886525651513381,-0.33852403520649965,-0.05754908598510494,1.2315814171750352,0.7572727272727273,4.882352941176471,18.715894543651437,-0.06882591093117409
2008-06-30,ETN,26.35819625854492,-0.12888192932789844,10.284366366366367,13698776000.0,3.2013965879878477,1.8526881255071679,33.193728937728935,1.03287841191067,0.045036516094130376,0.03434760185662713,0.750620347394541,1.1662531017369726,1.2968983957219251,0.6280768190424668,-0.35638297872340424,23.086498328658507,1.1291291291291292
2008-09-30,ETN,27.318967819213867,0.035801972771861035,7.410409523809523,9337116000.0,2.2695955274671853,1.337887376414959,26.4025703125,0.9476534296028881,0.04513540621865597,0.034358638743455495,0.9386281588447654,1.302647412755716,1.2410039982230119,0.6250179108754836,-0.279445727482679,21.158365739940805,1.3746031746031746
2008-12-31,ETN,17.803998947143555,-0.42815816082969427,12.674024539877301,8263464000.0,2.3697917981072556,1.3081310748773152,39.69924115755627,0.49037304452466907,0.025803387684027228,0.018304323413812464,1.5463297232250302,1.8772563176895307,1.280373831775701,0.676112078518284,-0.1762820512820513,14.480364184095608,3.8282208588957056
